name,team,battingStyle,bowlingStyle,playingRole
DevonConway ,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
RuturajGaikwad ,Super Kings,Right hand Bat,Right arm Offbreak,Batter
MoeenAli ,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
BenStokes ,Super Kings,Left hand Bat,Right arm Fast medium,Allrounder
AmbatiRayudu ,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter
ShivamDube ,Super Kings,Left hand Bat,Right arm Medium,Allrounder
RavindraJadeja ,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
MSDhoni (c)†,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter
MitchellSantner ,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
WriddhimanSaha †,Titans,Right hand Bat,Not Available,Wicketkeeper Batter
ShubmanGill ,Titans,Right hand Bat,Right arm Offbreak,Opening Batter
SaiSudharsan ,Titans,Left hand Bat,Legbreak,Top order Batter
HardikPandya (c),Titans,Right hand Bat,Right arm Medium fast,Allrounder
VijayShankar ,Titans,Right hand Bat,Right arm Medium,Allrounder
RahulTewatia ,Titans,Left hand Bat,Legbreak,Bowling Allrounder
RashidKhan ,Titans,Right hand Bat,Legbreak Googly,Bowling Allrounder
MohammedShami,Titans,Right hand Bat,Right arm Fast,Bowler
HardikPandya,Titans,Right hand Bat,Right arm Medium fast,Allrounder
JoshLittle,Titans,Right hand Bat,Left arm Fast medium,Bowler
RashidKhan,Titans,Right hand Bat,Legbreak Googly,Bowling Allrounder
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler
YashDayal,Titans,Right hand Bat,Left arm Medium fast,Bowler
DeepakChahar,Super Kings,Right hand Bat,Right arm Medium,Bowler
TusharDeshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler
RajvardhanHangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
MitchellSantner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
RavindraJadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrabhsimranSingh ,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
ShikharDhawan (c),Punjab Kings,Left hand Bat,Right arm Offbreak,Opening Batter
BhanukaRajapaksa ,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
JiteshSharma †,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
SikandarRaza ,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
SamCurran ,Punjab Kings,Left hand Bat,Left arm Medium fast,Allrounder
MShahrukhKhan ,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
MandeepSingh ,KKR,Right hand Bat,Right arm Medium,Allrounder
RahmanullahGurbaz †,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
AnukulRoy ,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
VenkateshIyer ,KKR,Left hand Bat,Right arm Medium,Allrounder
NitishRana (c),KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
RinkuSingh ,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
AndreRussell ,KKR,Right hand Bat,Right arm Fast,Allrounder
ShardulThakur ,KKR,Right hand Bat,Right arm Medium,Bowler
SunilNarine ,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
ShardulThakur,KKR,Right hand Bat,Right arm Medium,Bowler
SamCurran,Punjab Kings,Left hand Bat,Left arm Medium fast,Allrounder
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
NathanEllis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
RahulChahar,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
HarpreetBrar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler
KLRahul (c),Super Giants,Right hand Bat,Not Available,Wicketkeeper Batter
KyleMayers ,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
DeepakHooda ,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
KrunalPandya ,Super Giants,Left hand Bat,Slow Left arm Orthodox,Allrounder
MarcusStoinis ,Super Giants,Right hand Bat,Right arm Medium,Batting Allrounder
NicholasPooran †,Super Giants,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
AyushBadoni ,Super Giants,Right hand Bat,Right arm Offbreak,Batter
KrishnappaGowtham ,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
PrithviShaw ,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
DavidWarner (c),Capitals,Left hand Bat,Legbreak,Opening Batter
MitchellMarsh ,Capitals,Right hand Bat,Right arm Medium,Allrounder
SarfarazKhan †,Capitals,Right hand Bat,Legbreak,Middle order Batter
RileeRossouw ,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter
RovmanPowell ,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
AmanHakimKhan ,Capitals,Right hand Bat,Right arm Medium,Allrounder
AxarPatel ,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
KuldeepYadav ,Capitals,Left hand Bat,Left arm Wrist spin,Bowler
ChetanSakariya ,Capitals,Left hand Bat,Left arm Medium fast,Bowler
MukeshKumar ,Capitals,Right hand Bat,Right arm Medium,Bowler
KhaleelAhmed,Capitals,Right hand Bat,Left arm Medium,Bowler
MukeshKumar,Capitals,Right hand Bat,Right arm Medium,Bowler
ChetanSakariya,Capitals,Left hand Bat,Left arm Medium fast,Bowler
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
KuldeepYadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
JaydevUnadkat,Super Giants,Right hand Bat,Left arm Medium,Bowler
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler
RaviBishnoi,Super Giants,Right hand Bat,Legbreak Googly,Bowler
YashasviJaiswal ,Royals,Left hand Bat,Legbreak,Opening Batter
JosButtler ,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
SanjuSamson (c)†,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
DevduttPadikkal ,Royals,Left hand Bat,Right arm Offbreak,Top order Batter
RiyanParag ,Royals,Right hand Bat,Legbreak,Top order Batter
ShimronHetmyer ,Royals,Left hand Bat,Not Available,Top order Batter
RavichandranAshwin ,Royals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AbhishekSharma ,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder
MayankAgarwal ,Sunrisers,Right hand Bat,Right arm Offbreak,Batter
RahulTripathi ,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
HarryBrook ,Sunrisers,Right hand Bat,Right arm Medium,Batter
WashingtonSundar ,Sunrisers,Left hand Bat,Right arm Offbreak,Bowling Allrounder
GlennPhillips †,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
AbdulSamad ,Sunrisers,Right hand Bat,Legbreak,Batter
AdilRashid ,Sunrisers,Right hand Bat,Legbreak,Bowler
BhuvneshwarKumar (c),Sunrisers,Right hand Bat,Right arm Medium,Bowler
UmranMalik ,Sunrisers,Right hand Bat,Right arm Fast,Bowler
BhuvneshwarKumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler
FazalhaqFarooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
WashingtonSundar,Sunrisers,Left hand Bat,Right arm Offbreak,Bowling Allrounder
TNatarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler
AdilRashid,Sunrisers,Right hand Bat,Legbreak,Bowler
UmranMalik,Sunrisers,Right hand Bat,Right arm Fast,Bowler
TrentBoult,Royals,Right hand Bat,Left arm Fast medium,Bowler
KMAsif,Royals,Right hand Bat,Right arm Medium,Bowler
JasonHolder,Royals,Right hand Bat,Right arm Medium fast,Bowling Allrounder
RavichandranAshwin,Royals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
YuzvendraChahal,Royals,Right hand Bat,Legbreak Googly,Bowler
NavdeepSaini,Royals,Right hand Bat,Right arm Fast,Bowler
RohitSharma (c),Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter
IshanKishan †,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
CameronGreen ,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder
